id,name,lexicon_volume,lexicon_number,lexicon_addendum,gospels_acts_unattested,josephus,rare
13769,Tobiah,1,7,0,0,0,0
8597,Marcus,2,1,1,0,0,0
108,Aaron,2,2,1,0,0,1
570,Abraham,2,1,1,0,0,1
1352,Anan,2,1,1,0,0,1
2342,Azariah,2,1,1,0,0,0
2578,Benjamin,2,2,1,0,0,0
4021,Eleazar,2,12,1,0,0,0
4022,Eleazar,2,13,1,0,0,0
4023,Eleazar,2,14,1,0,0,0
4024,Eleazar,2,15,1,0,0,0
4025,Eleazar,2,16,1,0,0,0
4017,Eleazar,2,8,1,0,0,0
4020,Eleazar,2,11,1,0,0,0
4103,Elisha,2,1,1,0,0,0
4990,Hagai,2,2,1,0,0,0
5170,Hanan,2,1,1,0,0,0
5171,Hanan,2,2,1,0,0,0
5172,Hanan,2,3,1,0,0,0
5329,Hananiah,2,1,1,0,0,0
5330,Hananiah,2,2,1,0,0,0
5331,Hananiah,2,3,1,0,0,0
5332,Hananiah,2,4,1,0,0,0
5333,Hananiah,2,5,1,0,0,0
5334,Hananiah,2,6,1,0,0,0
5338,Hananiah,2,10,1,0,0,0
5614,Hesediah,2,1,1,0,0,1
5718,Hillel,2,1,1,0,0,0
5876,Hoshaiah,2,1,1,0,0,1
5877,Hoshaiah,2,2,1,0,0,1
6183,Isaac,2,1,1,0,0,0
6287,Ishmael,2,1,1,0,0,0
6288,Ishmael,2,2,1,0,0,0
6289,Ishmael,2,3,1,0,0,0
6293,Ishmael,2,7,1,0,0,0
6294,Ishmael,2,8,1,0,0,0
6333,Israel,2,1,1,0,0,1
6517,Jacob,2,2,1,0,0,0
6768,Jonathan,2,3,1,0,0,0
6769,Jonathan,2,4,1,0,0,0
6770,Jonathan,2,5,1,0,0,0
6771,Jonathan,2,6,1,0,0,0
6772,Jonathan,2,7,1,0,0,0
6773,Jonathan,2,8,1,0,0,0
6774,Jonathan,2,9,1,0,0,0
6779,Jonathan,2,14,1,0,0,0
7151,Joseph,2,4,1,0,0,0
7153,Joseph,2,6,1,0,0,0
7154,Joseph,2,7,1,0,0,0
7155,Joseph,2,8,1,0,0,0
7156,Joseph,2,9,1,0,0,0
7157,Joseph,2,10,1,0,0,0
7158,Joseph,2,11,1,0,0,0
7159,Joseph,2,12,1,0,0,0
7160,Joseph,2,13,1,0,0,0
7161,Joseph,2,14,1,0,0,0
7162,Joseph,2,15,1,0,0,0
7163,Joseph,2,16,1,0,0,0
7169,Joseph,2,22,1,0,0,0
7172,Joseph,2,25,1,0,0,0
7259,Joshua,2,2,1,0,0,0
7260,Joshua,2,3,1,0,0,0
7581,Judah,2,6,1,0,0,0
7582,Judah,2,7,1,0,0,0
7583,Judah,2,8,1,0,0,0
7584,Judah,2,9,1,0,0,0
7587,Judah,2,12,1,0,0,0
7589,Judah,2,14,1,0,0,0
8123,Levi,2,7,1,0,0,0
8124,Levi,2,8,1,0,0,0
8125,Levi,2,9,1,0,0,0
9117,Mattathias,2,4,1,0,0,0
9118,Mattathias,2,5,1,0,0,0
9119,Mattathias,2,6,1,0,0,0
9121,Mattathias,2,8,1,0,0,0
9122,Mattathias,2,9,1,0,0,0
9288,Menahem,2,2,1,0,0,0
9360,Meshulam,2,1,1,0,0,1
9749,Nathanel,2,2,1,0,0,0
10580,Phineas,2,3,1,0,0,0
10581,Phineas,2,4,1,0,0,0
10620,Playah,2,1,1,0,0,1
11535,Samuel,2,2,1,0,0,0
11536,Samuel,2,3,1,0,0,0
11873,Seth,2,2,1,0,0,0
12156,Shafan,2,1,1,0,0,1
12736,Simon,2,6,1,0,0,0
12737,Simon,2,7,1,0,0,0
12738,Simon,2,8,1,0,0,0
12739,Simon,2,9,1,0,0,0
12740,Simon,2,10,1,0,0,0
12745,Simon,2,15,1,0,0,0
12746,Simon,2,16,1,0,0,0
12750,Simon,2,20,1,0,0,0
14120,Yair,2,2,1,0,0,0
14273,Yehoyakhin,2,1,1,0,0,1
14518,Yohanan,2,3,1,0,0,0
14519,Yohanan,2,4,1,0,0,0
14520,Yohanan,2,5,1,0,0,0
14521,Yohanan,2,6,1,0,0,0
14522,Yohanan,2,7,1,0,0,0
14523,Yohanan,2,8,1,0,0,0
14527,Yohanan,2,12,1,0,0,0
14609,Zachariah,2,1,1,0,0,0
14641,Zamari,2,1,1,0,0,1
1062,Alexander,2,2,1,0,0,0
1063,Alexander,2,3,1,0,0,0
1066,Alexander,2,6,1,0,0,0
1067,Alexander,2,7,1,0,0,0
1793,Archelaus,2,1,1,0,0,0
1831,Aristion,2,2,1,0,0,1
1852,Aristobulus,2,2,1,0,0,0
3064,Crocus,2,1,1,0,0,1
3136,Cyrus,2,1,1,0,0,1
3609,Dositheus,2,2,1,0,0,0
4432,Eutolmus,2,1,1,0,0,0
6307,Isidorus,2,1,1,0,0,1
6568,Jason,2,1,1,0,0,0
6570,Jason,2,3,1,0,0,0
8268,Lysias,2,1,1,0,0,1
8269,Lysias,2,2,1,0,0,1
9870,Nicias,2,1,1,0,0,1
10145,Papion,2,1,1,0,0,1
10170,Pappus,2,1,1,0,0,0
10420,Phileteirus,2,1,1,0,0,1
10472,Philon,2,1,1,0,0,1
10825,Ptolemaius,2,1,1,0,0,1
10826,Ptolemaius,2,2,1,0,0,1
13310,Telesistratus,2,1,1,0,0,1
1523,Annius,2,1,1,0,0,1
1766,Aquila,2,1,1,0,0,1
7784,Justinus,2,2,1,0,0,1
11896,Severus,2,1,1,0,0,1
14032,Verus,2,1,1,0,0,1
233,Abba,2,1,1,0,0,0
234,Abba,2,2,1,0,0,0
4504,Farruch,2,1,1,0,0,1
4724,Galgula,2,1,1,0,0,1
4754,Garaf,2,1,1,0,0,1
4845,Gira,2,1,1,0,0,0
5045,Halbo,2,1,1,0,0,1
5750,Hiyya,2,1,1,0,0,1
